Page URL,Load Time (ms)
https://www.gsmarena.com.bd/walton-orbit-y20/,5969
https://www.gsmarena.com.bd/walton-orbit-y20/,6362
https://www.gsmarena.com.bd/walton-orbit-y20/,9703
https://www.gsmarena.com.bd/walton-orbit-y20/,3009
https://www.gsmarena.com.bd/walton-orbit-y20/,2547
Date and Time,Page URL,Load Time (ms)
10/08/23-11-2023 19:11:&S,https://www.gsmarena.com.bd/walton-orbit-y20/,7933
10/08/23-11-2023 19:11:&S,https://www.gsmarena.com.bd/walton-orbit-y20/,3960
10/08/23-11-2023 19:11:&S,https://www.gsmarena.com.bd/walton-orbit-y20/,2016
10/08/23-11-2023 19:11:&S,https://www.gsmarena.com.bd/walton-orbit-y20/,3057
10/08/23-11-2023 19:11:&S,https://www.gsmarena.com.bd/walton-orbit-y20/,2812
Date and Time,Page URL,Load Time (ms)
2023-10-08 19:17:27,https://www.gsmarena.com.bd/walton-orbit-y20/,7673
2023-10-08 19:17:27,https://www.gsmarena.com.bd/walton-orbit-y20/,1854
2023-10-08 19:17:27,https://www.gsmarena.com.bd/walton-orbit-y20/,3751
2023-10-08 19:17:27,https://www.gsmarena.com.bd/walton-orbit-y20/,2815
2023-10-08 19:17:27,https://www.gsmarena.com.bd/walton-orbit-y20/,3402
